"ID" "WGT" "DEP" "DEP_NAME" "COM" "COM_NAME" "ARR" "ARR_NAME" "URBA" "DEP_CHEF" "COM_CHEF" "COM_CHEF_DIST" "DEP_CHEF_DIST" "NAT_CHEF_DIST" "statoc" "tailmen" "locnais" "datnais" "age" "sexe" "etud5" "radio" "telev" "hifi" "parab" "magne" "cddvd" "frigo" "cuisi" "foyam" "ferre" "clima" "venti" "lit" "matel" "faumo" "ordi" "inter" "elgen" "bicyc" "motoc" "voitu" "barqu" "telfix" "telmob" "equip_tot" "equip_acp"
"379062" "04101_001" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "Locat" 6 "202" 1972 41 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379064" "04101_002" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 5 "041" 1985 28 "M" "1.Aucun" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 4 -0.340768018136919
"379094" "04101_003" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 2 "041" 1954 59 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379101" "04101_004" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 8 "041" 1972 41 "M" "2.Primaire" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE 7 0.357833451072209
"379103" "04101_005" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 4 "045" 1985 28 "M" "4.Supérieur" TRUE TRUE TRUE TRUE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE TRUE TRUE FALSE TRUE FALSE TRUE FALSE FALSE FALSE TRUE 13 2.04370842154625
"379175" "04101_006" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 14 "202" 1951 62 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE 5 0.290559807673977
"379186" "04101_007" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 18 "041" 1963 50 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 4 -0.439299509418815
"379203" "04101_008" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 14 "041" 1970 43 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE 2 -0.705120685767445
"379206" "04101_009" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 7 "041" 1971 42 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 3 -0.704825517000945
"379239" "04101_010" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 5 "041" 1980 33 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 3 -0.704825517000945
"379251" "04101_011" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 8 "041" 1960 53 "M" "1.Aucun" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE 1 -1.14965912411727
"379256" "04101_012" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 18 "041" 1975 38 "M" "2.Primaire" TRUE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE 6 0.359701040409308
"379268" "04101_013" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 5 "041" 1983 30 "M" "3.Secondaire" FALSE TRUE TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE 9 1.45856659809762
"379291" "04101_014" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "Autre" 5 "041" 1973 40 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 4 -0.355996871688413
"379302" "04101_015" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 3 "041" 1975 38 "M" "4.Supérieur" FALSE TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE TRUE FALSE FALSE TRUE FALSE TRUE TRUE FALSE FALSE TRUE 11 1.57116556842887
"379336" "04101_016" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 9 "041" 1970 43 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379341" "04101_017" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 4 "041" 1985 28 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0579736688720556
"379348" "04101_018" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 8 "041" 1972 41 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379349" "04101_019" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 11 "041" 1949 64 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379350" "04101_020" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 10 "041" 1974 39 "M" "2.Primaire" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE 4 -0.090766032872783
"379377" "04101_021" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 26 "041" 1974 39 "M" "2.Primaire" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379409" "04101_022" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 19 "041" 1965 48 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 5 -0.0904708641062833
"379412" "04101_023" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 26 "041" 1968 45 "M" "1.Aucun" TRUE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE 6 -0.0213296313709523
"379423" "04101_024" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 18 "041" 1973 40 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE 4 -0.285007317191971
"379428" "04101_025" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 8 "041" 1976 37 "M" "1.Aucun" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 3 -0.606294025719049
"379434" "04101_026" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 5 "041" 1983 30 "M" "1.Aucun" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE 1 -0.884428285301638
"379438" "04101_027" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropInd" 9 "041" 1932 81 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE 4 -0.321334434222411
"379453" "04101_028" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 5 "041" 1989 24 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE 2 -0.899361970086633
"379478" "04101_029" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "PropFam" 43 "041" 1973 40 "M" "1.Aucun" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE 9 0.903496996622976
"379488" "04101_030" 15.96 "04" "BORGOU" "041" "BEMBEREKE" "04101" "BEROUBOUAY" 0 0 0 39.9039203577241 129.163184510902 460.267973448319 "Autre" 2 "202" 1981 32 "M" "2.Primaire" TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE TRUE 3 -0.704825517000945
