"iso3" "name" "X" "Y" "Yest" "Yres"
"AGO" "Angola" 6793.7084905 1.12098146 1.63475038239112 -0.51376892239112
"BDI" "Burundi" 756.5940753 0.046677632 -0.201613797591241 0.248291429591241
"BEN" "Benin" 3224.0433155 0.622479113 0.548932753128365 0.0735463598716349
"BFA" "Burkina Faso" 2160.589458 0.197398006 0.225452289339213 -0.0280542833392132
"BWA" "Botswana" 17700.315175 2.957364197 4.95231245975462 -1.99494826275462
"CAF" "Central African Rep." 938.9888221 0.065082737 -0.14613312311584 0.21121586011584
"CIV" "Côte d'Ivoire" 5133.590463 0.334697157 1.12977713348791 -0.795079976487907
"CMR" "Cameroon" 3628.117697 0.322696456 0.671843744903986 -0.349147288903986
"COD" "Dem. Rep. Congo" 1091.921277 0.024229169 -0.0996142628093263 0.123843431809326
"COG" "Congo" 3356.241829 0.616109614 0.589144781283255 0.0269648327167448
"DJI" "Djibouti" 5366.7106935 0.671795337 1.20068744120737 -0.528892104207369
"DZA" "Algeria" 11414.59947 3.687690523 3.04032895698176 0.647361566018237
"EGY" "Egypt" 11564.794985 2.426406927 3.08601529730448 -0.65960837030448
"ETH" "Ethiopia" 2161.610892 0.136741407 0.225762988239518 -0.0890215812395179
"GAB" "Gabon" 14806.59046 2.528364653 4.07210180812667 -1.54373715512667
"GHA" "Ghana" 5303.5335615 0.614718893 1.18147027647935 -0.566751383479347
"GIN" "Guinea" 2531.2340715 0.256099965 0.338194643537624 -0.0820946785376237
"GMB" "Gambia" 2175.56898 0.267809134 0.230008747233203 0.0378003867667969
"GNB" "Guinea-Bissau" 1969.2723555 0.181176683 0.167257620514575 0.0139190624854252
"GNQ" "Eq. Guinea" 19458.924495 4.344926374 5.48724470382476 -1.14231832982476
"KEN" "Kenya" 4266.836836 0.359705728 0.866128773687877 -0.506423045687877
"LBR" "Liberia" 1462.4117835 0.323409158 0.0130812152566769 0.310327942743323
"LBY" "Libya" 15096.076915 8.087927351 4.16015754469075 3.92776980630925
"LSO" "Lesotho" 2758.1290145 1.261331254 0.407211348752832 0.854119905247168
"MAR" "Morocco" 7476.179208 1.840451548 1.84234372803792 -0.00189218003791738
"MDG" "Madagascar" 1629.662278 0.163020675 0.0639553243195848 0.0990653506804152
"MLI" "Mali" 2305.236143 0.186615308 0.269450791408085 -0.082835483408085
"MOZ" "Mozambique" 1284.996527 0.280919409 -0.0408848022166211 0.321804211216621
"MRT" "Mauritania" 5119.7260215 0.604431254 1.12555985980465 -0.521128605804645
"MWI" "Malawi" 1051.124929 0.076111089 -0.112023660244742 0.188134749244742
"NAM" "Namibia" 9784.576925 1.745046871 2.54451012561007 -0.799463254610065
"NER" "Niger" 1207.776152 0.103333707 -0.0643736283117132 0.167707335311713
"NGA" "Nigeria" 5145.2870585 0.649875717 1.13333499367188 -0.483459276671882
"RWA" "Rwanda" 2157.393527 0.09123742 0.224480153844263 -0.133242733844263
"SDN" "Sudan" 4059.533129 0.50347675 0.803071313495656 -0.299594563495656
"SEN" "Senegal" 3354.8272485 0.73865658 0.588714495424607 0.149942084575393
"SLE" "Sierra Leone" 1690.831567 0.140938413 0.0825617451208489 0.0583766678791511
"SWZ" "Swaziland" 8647.0887405 1.054932715 2.19850996501848 -1.14357725001848
"TCD" "Chad" 1577.9726825 0.06553287 0.0482324283918565 0.0173004416081435
"TGO" "Togo" 1574.238451 0.433256396 0.0470965531218605 0.38615984287814
"TUN" "Tunisia" 10759.682745 2.730311388 2.84111696066224 -0.11080557266224
"TZA" "Tanzania" 2625.19797 0.221952352 0.36677649995937 -0.14482414795937
"UGA" "Uganda" 2151.6788215 0.135060384 0.222741859725979 -0.0876814757259787
"ZAF" "South Africa" 12556.280175 8.090356956 3.38760439479033 4.70275256120967
"ZMB" "Zambia" 3500.51193 0.301295988 0.63302873436054 -0.33173274636054
"ZWE" "Zimbabwe" 2982.9890165 0.849287912 0.475609067395354 0.373678844604646
